block_no,range_start,range_end,slug,title,category,priority,status,version,depends_on,optional_depends_on,requires_slugs,optional_requires_slugs,provides,requires_capabilities,optional_requires_capabilities,conflicts,zip_filename,main_doc,zip_pack,notes,spec_md,seed_files,last_updated
62.0,63201,63600,multicloud_hybrid_connectivity,Multicloud Hybrid Connectivity,Enterprise & Governance,P0,DONE,0.32.1,enterprise_identity_access;security_trust;observability_reliability,,enterprise_identity_access;observability_reliability;security_trust,,block:multicloud_hybrid_connectivity;cap:enterprise;cap:governance;cap:identity,cap:compliance;cap:enterprise;cap:governance;cap:identity;cap:observability;cap:reliability;cap:security,,,IFOS_63201_63600_multicloud_hybrid_connectivity_os_pack.zip,IFOS_multicloud_hybrid_connectivity_os_63201_63600_v1.md,IFOS_63201_63600_multicloud_hybrid_connectivity_os_pack.zip,,,,
63.0,68401,68800,supply_chain_monitoring,Supply Chain Monitoring,Supply Chain & Risk,P1,DONE,0.84.1,,,,,block:supply_chain_monitoring,,,,IFOS_68401_68800_supply_chain_monitoring_os_pack.zip,IFOS_supply_chain_monitoring_os_68401_68800_v1.md,IFOS_68401_68800_supply_chain_monitoring_os_pack.zip,,,,
64.0,68801,69200,observability_sre,Observability & SRE,Observability & Reliability,P0,DONE,0.85.1,observability_reliability;runtime_execution;workflow_runner_macro_engine,analytics_insights,,,block:observability_sre,,,,IFOS_68801_69200_observability_sre_os_pack.zip,IFOS_observability_sre_os_68801_69200_v1.md,IFOS_68801_69200_observability_sre_os_pack.zip,,,,
65.0,69201,69600,incident_response_postmortems,Incident Response & Postmortems,Observability & Reliability,P0,DONE,0.1.0,observability_sre;case_management_ticketing;notifications_activity_feed;publishing_release_workflow,customer_support_disputes;security_trust,,,block:incident_response_postmortems,,,,IFOS_69201_69600_incident_response_postmortems_os_pack.zip,IFOS_incident_response_postmortems_os_69201_69600_v1.md,IFOS_69201_69600_incident_response_postmortems_os_pack.zip,,,,
66.0,69601,70000,resilience_chaos_gamedays,"Resilience, Chaos & GameDays",Observability & Reliability,P1,DONE,0.20.2,observability_sre;incident_response_postmortems;experimentation_evaluation;feature_flags_remote_config,multicloud_hybrid_connectivity;distribution_sync,,,block:resilience_chaos_gamedays;resilience_exercises;gamedays;chaos_experiments;dr_drills;readiness_scoreboard,,,,IFOS_69601_70000_resilience_chaos_gamedays_os_pack.zip,IFOS_resilience_chaos_gamedays_os_69601_70000_v1.md,IFOS_69601_70000_resilience_chaos_gamedays_os_pack.zip,,,,
67.0,70001,70400,performance_capacity_load_testing,"Performance, Capacity & Load Testing",Observability & Reliability,P1,DONE,0.20.3,observability_reliability;resilience_chaos_gamedays;runtime_execution;scheduling_orchestration,experimentation_evaluation;feature_flags_remote_config,,,capacity_models;load_tests;performance_benchmarks;stress_profiles;soak_tests;regression_gates,metrics;dashboards;job_runner;alerts,synthetic_tests;traffic_replay,,IFOS_70001_70400_performance_capacity_load_testing_os_pack.zip,IFOS_performance_capacity_load_testing_os_70001_70400_v1.md,IFOS_70001_70400_performance_capacity_load_testing_os_pack.zip,,,,
68.0,70401,70800,slo_sli_error_budgets,"SLO/SLI, Error Budgets & Reliability Gates",Observability & Reliability,P1,DONE,0.21.0,observability_reliability;performance_capacity_load_testing;analytics_insights;feature_flags_remote_config,experimentation_evaluation;incident_response_postmortems,,,slo_catalog;sli_definitions;error_budgets;release_gates,metrics;dashboards;alerts;feature_flags,cost_models;change_control,,IFOS_70401_70800_slo_sli_error_budgets_os_pack.zip,IFOS_slo_sli_error_budgets_os_70401_70800_v1.md,IFOS_70401_70800_slo_sli_error_budgets_os_pack.zip,,,,
69.0,70801,71200,release_progressive_delivery_rollbacks,"Progressive Delivery, Rollbacks & Safe Releases",Delivery & Reliability,P1,DONE,0.22.0,feature_flags_remote_config;publishing_release_workflow;observability_reliability;slo_sli_error_budgets,incident_response_postmortems;change_control;experimentation_evaluation,,,canary_deployments;auto_rollback;release_policies;deployment_safety_checks,feature_flags;metrics;alerts;release_workflows,traffic_splitting;cost_models,,IFOS_70801_71200_release_progressive_delivery_rollbacks_os_pack.zip,IFOS_release_progressive_delivery_rollbacks_os_70801_71200_v1.md,IFOS_70801_71200_release_progressive_delivery_rollbacks_os_pack.zip,,,,
70.0,71201,71600,chaos_engineering_resilience_testing,Chaos Engineering & Resilience Testing,Delivery & Reliability,P2,DONE,0.23.0,observability_reliability;incident_response_postmortems;slo_sli_error_budgets,performance_capacity_load_testing;progressive_delivery_rollbacks,,,fault_injection;game_days;resilience_scorecards;blast_radius_controls,metrics;alerts;runbooks,traffic_mirroring;synthetic_checks,,IFOS_71201_71600_chaos_engineering_resilience_testing_os_pack.zip,IFOS_chaos_engineering_resilience_testing_os_71201_71600_v1.md,IFOS_71201_71600_chaos_engineering_resilience_testing_os_pack.zip,,,,
71.0,71601,72000,synthetic_monitoring_user_journeys,"Synthetic Monitoring & User Journeys (Synthetics, Probes, Journeys)",Observability & Reliability,P2,DONE,0.29.0,observability_reliability; slo_sli_error_budgets; app_shell_navigation,,,,,,,,,,IFOS_71601_72000_synthetic_monitoring_user_journeys_os_pack.zip,"Наблюдение 'снаружи': синтетические проверки API/UI, пользовательские джорни, гео-пробы, SLA-канареечки; триггеры в AIOps/SRE.",IFOS_synthetic_monitoring_user_journeys_os_71601_72000_v1.md,,
72.0,72001,72400,real_user_monitoring_rum_experience,"Real User Monitoring (RUM) & Experience Metrics (Core Web Vitals, Sessions, Funnels)",Observability & Reliability,P2,DONE,0.30.0,,,,,,,,,,,IFOS_72001_72400_rum_experience_os_pack.zip,"Наблюдение 'изнутри' глазами реальных пользователей: Core Web Vitals, сессии, ошибки JS, фейлы запросов, перф-метрики, флоу/воронки, сегменты устройств/регионов. Связка с релизами/флагами/сервисами. Materialized missing os_pack v1.",IFOS_rum_experience_os_72001_72400_v1.md,,
73.0,72401,72800,aiops_correlation_root_cause,"AIOps: Correlation, Regression Detection & Root Cause",Observability & Reliability,P2,DONE,0.31.0,,,,,,,,,,,IFOS_72401_72800_aiops_correlation_root_cause_os_pack.zip,"Авто-корреляции между RUM/синтетикой/SLO/релизами/фичефлагами и backend traces; выявление регрессий, вероятной причины (сервис/эндпойнт/регион/флаг), генерация гипотез и задач.",IFOS_aiops_correlation_root_cause_os_72401_72800_v1.md,,
74.0,72801,73200,service_catalog_topology_ownership,"Service Catalog, Topology Graph & Ownership (Owner Routing)",Observability & Reliability,P2,DONE,0.32.0,observability_reliability;incident_response_postmortems;slo_sli_error_budgets;aiops_correlation_root_cause;workspaces_orgs,synthetic_monitoring_user_journeys;real_user_monitoring_rum_experience;release_progressive_delivery_rollbacks,,,service_catalog;topology_graph;owner_routing;escalation_policies,identity;rbac;audit_log;notifications,rum;synthetics;ci_cd,,,,IFOS_72801_73200_service_catalog_topology_ownership_os_pack.zip,"Каталог сервисов (владельцы/команды/домен/критичность/тиеры), граф зависимостей (сервис→сервис/БД/очередь/API), и правила owner-routing: кому назначать инцидент/тикет, как эскалировать, и где искать runbook/SLO/метрики. Блок закрывает «кто отвечает за что» и даёт топологию для AIOps/корреляций.",IFOS_service_catalog_topology_ownership_os_72801_73200_v1.md,,
75.0,73201,73600,change_intelligence_blast_radius,Change Intelligence & Blast Radius (Release/Change Impact Engine),Observability & Reliability,P2,DONE,0.33.0,observability_reliability;release_progressive_delivery_rollbacks;synthetic_monitoring_user_journeys;real_user_monitoring_rum_experience;aiops_correlation_root_cause;service_catalog_topology_ownership;slo_sli_error_budgets;incident_response_postmortems;feature_flags_remote_config,experimentation_evaluation;data_lineage_provenance;compliance_policy_engine;data_privacy_compliance;knowledge_graph_semantic,,,change_timeline;change_correlation;blast_radius_estimation;change_annotations;rollback_suggestions,identity;rbac;audit_log;notifications;service_catalog;topology_graph;metrics_traces_logs,rum;synthetics;feature_flags;ci_cd;policy_engine,,,,IFOS_73201_73600_change_intelligence_blast_radius_os_pack.zip,Слой Change Intelligence: единый поток изменений + корреляция с наблюдаемостью + оценка blast radius и рекомендации (hold/rollback).,IFOS_change_intelligence_blast_radius_os_73201_73600_v1.md,,
76.0,73601,74000,backup_restore_retention,Backup / Restore / Retention (DR/BCP),Reliability & DR,P1,DONE,v1,observability_reliability;multicloud_hybrid_connectivity;data_lineage_provenance;security_trust,slo_sli_error_budgets;service_catalog_topology_ownership;incident_response_postmortems,,,backup_plans;restore_runbooks;retention_policies;dr_tests;evidence_exports,storage.snapshot;object_storage.put;orchestrator.schedule;notification.send;evidence.store,,,,,IFOS_73601_74000_backup_restore_retention_os_pack.zip,Materialized missing os_pack v1.,IFOS_backup_restore_retention_os_73601_74000_v1.md,,
77.0,74001,74400,vulnerability_patch_management,Vulnerability & Patch Management,Security & Trust,P1,DONE,v1,security_trust;service_catalog_topology_ownership;change_intelligence_blast_radius;release_progressive_delivery_rollbacks,observability_reliability;incident_response_postmortems;feature_flags_remote_config,,,vulnerability_findings;patch_plans;waivers;sbom_links;advisory_feeds,scanner.cve_scan;repo.sbom;ticket.create;deploy.rollout;approval.request;evidence.store,,,,,IFOS_74001_74400_vulnerability_patch_management_os_pack.zip,Materialized missing os_pack v1.,IFOS_vulnerability_patch_management_os_74001_74400_v1.md,,
78.0,74401,74800,access_reviews_pam,Access Reviews & Privileged Access (IGA/PAM),Identity & Access,P1,DONE,v1,enterprise_identity_access;identity_profiles;workspaces_orgs;security_trust;compliance_policy_engine,case_management_ticketing;notifications_activity_feed;publishing_release_workflow,,,access_review_campaigns;attestations;privileged_roles;pam_sessions;approval_audit_trail,iam.list;iam.group_membership;approval.request;session.record;evidence.store;notification.send,,,,,IFOS_74401_74800_access_reviews_pam_os_pack.zip,Materialized missing os_pack v1.,IFOS_access_reviews_pam_os_74401_74800_v1.md,,
79.0,74801,75200,kms_secrets_rotation,KMS / Secrets Rotation & Key Hygiene,Security & Trust,P2,DONE,v1,enterprise_connectors_credential_vault;security_trust;compliance_policy_engine,observability_reliability;incident_response_postmortems,,,key_rotation_plans;secret_rotation_jobs;crypto_inventory;evidence_exports,kms.rotate;secret.rotate;policy.evaluate;evidence.store;notification.send,,,,,IFOS_74801_75200_kms_secrets_rotation_os_pack.zip,,IFOS_kms_secrets_rotation_os_74801_75200_v1.md,,
80.0,75201,75600,certificate_pki_mtls,Certificate Management / PKI & mTLS (next),Security & Trust,P2,DONE,1.0.0,kms_secrets_rotation;security_trust;enterprise_connectors_credential_vault,observability_reliability;incident_response_postmortems;service_catalog_topology_ownership,,,certificate_inventory;acme_issuers;pki_policies;mtls_profiles;certificate_rotation_jobs,cert.issue;cert.revoke;cert.rotate;secret.read;policy.evaluate;evidence.write;iam.list,proxy.mtls;mesh.policy;waf.mtls;siem.event,,IFOS_75201_75600_certificate_pki_mtls_os_pack.zip,IFOS_certificate_pki_mtls_os_75201_75600_v1.md,IFOS_75201_75600_certificate_pki_mtls_os_pack.zip,Implemented pack v1 (profiles seed + issuance example + spec). Materialized os_pack v1.,IFOS_certificate_pki_mtls_os_75201_75600_v1.md,,
81.0,75601,76000,certificate_compliance_audit_ct,"Certificate Compliance: linting, transparency, trust distribution, audits",security_trust,P2,DONE,1.0.0,"75201,74801,34401,34801,36001",,,,,,,,IFOS_75601_76000_certificate_compliance_audit_ct_os_pack.zip,IFOS_certificate_compliance_audit_ct_os_75601_76000_v1.md,IFOS_75601_76000_certificate_compliance_audit_ct_os_pack.zip,Placeholder for next block. Implemented pack v1 (lint rules + drift example + spec).,IFOS_certificate_compliance_audit_ct_os_75601_76000_v1.md,,
82.0,76001,76400,sigstore_attestation_provenance,"Artifact Attestation & Provenance (Sigstore-style): signing, verification, policy gates",security_trust,P2,DONE,1.0.0,"68401,74001,70801,73201,34401",,,,,,,,IFOS_76001_76400_sigstore_attestation_provenance_os_pack.zip,IFOS_sigstore_attestation_provenance_os_76001_76400_v1.md,IFOS_76001_76400_sigstore_attestation_provenance_os_pack.zip,Implements Sigstore-style signing/attestations + provenance + SBOM hooks and policy verification pipeline.,IFOS_sigstore_attestation_provenance_os_76001_76400_v1.md,IFOS_attestation_policies_seed_76001_76400_v1.csv; IFOS_attestation_record_schema_76001_76400_v1.json; IFOS_attestation_example_76001_76400_v1.json; IFOS_sigstore_verification_pipeline_76001_76400_v1.yaml,
83.0,76401,76800,oss_license_compliance,Open Source License Compliance + Attribution,Compliance & Policy,P2,DONE,0.0.1,"76001-76400, 43601-44000, 43201-43600",,,,,,,,IFOS_76401_76800_oss_license_compliance_os_pack.zip,IFOS_oss_license_compliance_os_76401_76800_v1.md,IFOS_76401_76800_oss_license_compliance_os_pack.zip,"Adds OSS license compliance, policy gating, attribution/NOTICE generation, and exception workflow.",IFOS_oss_license_compliance_os_76401_76800_v1.md,IFOS_license_policies_seed_76401_76800_v1.csv;IFOS_notice_templates_seed_76401_76800_v1.csv;IFOS_oss_license_scan_example_76401_76800_v1.json;IFOS_license_gate_ci_example_76401_76800_v1.yaml,2026-01-09
84.0,76801,77200,legal_agreements_terms_eula,"Legal Agreements, Terms & EULA Versioning",compliance_policy_engine,P1,DONE,v1,"55201-55600,42001-42400,45601-46000,76401-76800",,,,,,,,IFOS_76801_77200_legal_agreements_terms_eula_os_pack.zip,IFOS_legal_agreements_terms_eula_os_76801_77200_v1.md,IFOS_76801_77200_legal_agreements_terms_eula_os_pack.zip,"Policy-driven legal docs: Terms, EULA, click-through acceptance, jurisdiction/versioning; ties into marketplace + payments + compliance.",IFOS_legal_agreements_terms_eula_os_76801_77200_v1.md,IFOS_legal_docs_seed_76801_77200_v1.csv;IFOS_legal_terms_acceptance_api_76801_77200_v1.yaml;IFOS_acceptance_event_example_76801_77200_v1.json,2026-01-10
85.0,77201,77600,data_retention_legal_hold_ediscovery,"Data Retention, Legal Hold & eDiscovery",Compliance/Records,P2,DONE,v1,data_privacy_compliance;data_lineage_provenance;sigstore_attestation_provenance;oss_license_compliance,searchable_knowledge_vault;case_management_ticketing,,,retention_policies;legal_hold;ediscovery_exports;records_of_processing;retention_audit,storage;audit_logs;policy_engine;export;search;encryption,,,IFOS_77201_77600_data_retention_legal_hold_ediscovery_os_pack.zip,IFOS_data_retention_legal_hold_ediscovery_os_77201_77600_v1.md,IFOS_77201_77600_data_retention_legal_hold_ediscovery_os_pack.zip,,,IFOS_retention_policies_seed_77201_77600_v1.csv;IFOS_records_hold_ediscovery_api_77201_77600_v1.yaml;IFOS_legal_hold_case_example_77201_77600_v1.json,2026-01-10
86.0,77601,78000,accessibility_inclusive_design_wcag,Accessibility & Inclusive Design (WCAG/EN 301 549) + A11y Testing,UI/Governance,P2,DONE,v1,ui_console;office_suite_ui;in_app_guidance_help;guided_setup_wizards,analytics_insights;synthetic_monitoring_user_journeys,,,a11y_audits;aria_patterns;keyboard_nav;contrast_checks;captions;screen_reader_flows,ui_components;testing;linting;content_pipeline;docs,,,IFOS_77601_78000_accessibility_inclusive_design_a11y_os_pack.zip,IFOS_accessibility_inclusive_design_a11y_os_77601_78000_v1.md,IFOS_77601_78000_accessibility_inclusive_design_a11y_os_pack.zip,"A11y профиль, компонентные паттерны, авто+ручной аудит, гейт релиза и трек исправлений.",IFOS_accessibility_inclusive_design_a11y_os_77601_78000_v1.md,IFOS_a11y_requirements_seed_77601_78000_v1.csv;IFOS_accessibility_audit_api_77601_78000_v1.yaml;IFOS_a11y_audit_example_77601_78000_v1.json,2026-01-10
87.0,78001,78400,accessibility_compliance_reporting_vpat,Accessibility Compliance Reporting (VPAT/ACR) + Procurement Readiness,UI/Governance,P2,PLANNED,v0,accessibility_inclusive_design_wcag;compliance_policy_engine;legal_agreements_terms_eula,enterprise_governance;data_privacy_compliance,,,a11y_conformance_reports;vpat_exports;en301549_mapping;procurement_packets,reporting;export_pipeline;policy_engine;docs_templates,,,,,,"Подготовка формальных отчётов о соответствии, пакеты для закупок/тендеров, карта критериев и доказательства.",,,2026-01-10
